v1,v2
spam,"Chúc mừng bạn đã trúng thưởng iPhone 14 Pro Max. Vui lòng click vào link để nhận quà."
spam,"Vay tiền nhanh chóng, không cần thế chấp, lãi suất 0% cho lần vay đầu tiên. Liên hệ ngay."
spam,"Bạn có một bưu phẩm chưa nhận. Vui lòng thanh toán phí vận chuyển để nhận hàng."
spam,"Cơ hội làm việc tại nhà, thu nhập 10-20 triệu/tháng. Chỉ cần có điện thoại. Inbox để biết thêm chi tiết."
spam,"Khai trương sòng bài online, tặng ngay 100k vào tài khoản. Đăng ký ngay!"
spam,"Sale khủng 9/9, giảm giá lên đến 50% toàn bộ sản phẩm. Nhanh tay kẻo lỡ!"
spam,"Tài khoản ngân hàng của bạn sắp bị khóa. Vui lòng đăng nhập vào link sau để xác minh."
spam,"Bạn đã được chọn để nhận phần quà trị giá 5 triệu đồng. Truy cập website để nhận quà."
spam,"Tuyển nhân viên đánh máy tại nhà, lương ngày 500k. Liên hệ zalo 0123456789."
spam,"Nhận ngay thẻ cào 50k khi tải ứng dụng mới của chúng tôi. Link tải: ..."
spam,"Làm giàu không khó, chỉ cần đầu tư 1 triệu thu về 10 triệu sau 1 đêm."
spam,"Bạn đã vi phạm giao thông, vui lòng nộp phạt qua tài khoản sau."
spam,"Khuyến mãi lớn nạp thẻ điện thoại nhân đôi tài khoản."
spam,"Quay số trúng thưởng ngay để nhận xe SH."
spam,"Cảnh báo bảo mật: Tài khoản Zalo của bạn đang bị đăng nhập trái phép. Bấm vào link để bảo vệ."
spam,"Ưu đãi sốc: Gói cước data 4G không giới hạn chỉ 10k/tháng. Soạn tin DK gửi 1234."
spam,"Việc nhẹ lương cao, chỉ cần xem video TikTok kiếm 300k/ngày. Tham gia ngay."
spam,"Hỗ trợ mở thẻ tín dụng hạn mức 100 triệu, hồ sơ bao đậu, không gọi thẩm định."
spam,"Bạn đã đủ điều kiện rút 50 triệu tiền mặt, hoàn thành thủ tục tại link sau."
spam,"Khóa học đầu tư chứng khoán miễn phí, cam kết x3 tài khoản trong 1 tháng. Tham gia nhóm Zalo."
spam,"Xóa nợ xấu ngân hàng nhanh chóng, uy tín 100%, bảo mật thông tin. Gọi ngay hotline."
spam,"Cơ hội sở hữu đất nền giá cực rẻ, sổ đỏ trao tay, lợi nhuận 50%/năm. Gọi ngay để đặt chỗ."
spam,"Mật khẩu của bạn đã hết hạn, vui lòng cập nhật lại tại trang web của chúng tôi."
spam,"Thông báo trúng thưởng thẻ cào 500k. Nhấp vào đây để đổi thưởng."
spam,"Làm nhiệm vụ đánh giá sản phẩm Shopee nhận hoa hồng lên đến 20% mỗi đơn."
spam,"Hệ thống bảo mật phát hiện account của bạn bị đăng nhập trái phép. Vui lòng Verify tại: security-vcb.info"
spam,"HOT JOB: Tuyển CTV xem Video TikT0k kiếm tiền. Mỗi video 10k VND. Contact Telegram: @job_online_vn"
spam,"[T.B] Quý khách nhận được V.o.u.c.h.e.r giảm 500k cho đơn hàng N.ạ.p t.h.ẻ điện thoại. Link: napthe24h.io"
spam,"Cơ hội X10 T.à.i k.h.o.ả.n từ đ.ầ.u t.ư C.r.y.p.t.o. Bám sát signal của Chuyên gia tại: t.me/bit_coin_pro"
spam,"Dịch vụ H.a.c.k follow, like, comment F.B/I.G giá rẻ. Up rank account cực nhanh. LH: 07x.xxx.xxx"
spam,"B.ạ.n đ.ã t.r.ú.n.g g.i.ả.i khuyến khích trị giá 5.000.000đ từ sự kiện Tri ân. Nhận quà: event-momo.cc"
